Amsterdam,realSum,room_private,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat
Amsterdam,1136.550043,FALSE,4,9,95,2,4.89591,52.37045
Amsterdam,268.0852061,TRUE,2,10,99,0,5.00769,52.34542
Amsterdam,319.4057132,TRUE,2,10,99,1,4.902,52.402
Amsterdam,1210.367211,FALSE,4,9,87,3,5.00369,52.34984
Amsterdam,540.6228763,FALSE,4,9,89,2,4.94081,52.36082
Amsterdam,1044.688679,FALSE,2,10,100,1,4.88398,52.35465
Amsterdam,539.6855154,FALSE,6,10,93,3,4.871,52.419
Amsterdam,485.5529257,FALSE,2,10,100,1,4.85514,52.35136
Amsterdam,178.0985635,TRUE,2,10,96,1,4.98595,52.31704
Amsterdam,661.3080871,TRUE,4,9,95,2,4.89668,52.3717
Amsterdam,1572.891524,TRUE,4,9,98,4,4.89533,52.3726
Amsterdam,329.4823425,TRUE,2,9,97,1,4.89735,52.37116
Amsterdam,436.1071403,FALSE,2,10,95,0,4.84393,52.37781
Amsterdam,722.236543,FALSE,4,9,96,1,4.89877,52.35508
Amsterdam,399.5500668,FALSE,4,10,96,2,4.86394,52.3725
Amsterdam,602.0200127,FALSE,2,9,95,1,4.90526,52.35124
Amsterdam,319.4057132,TRUE,4,9,96,2,4.94785,52.31577
Amsterdam,817.1443301,FALSE,4,10,89,2,4.88359,52.35431
Amsterdam,439.8565838,FALSE,4,10,100,3,4.93168,52.40876
Amsterdam,546.7157219,FALSE,3,10,100,2,4.86311,52.36049
Amsterdam,1161.155766,FALSE,6,9,87,4,4.88679,52.36371
Amsterdam,393.4572212,TRUE,2,10,92,1,4.87005,52.37812
Amsterdam,386.1926745,TRUE,2,10,96,1,4.89675,52.37111
Amsterdam,540.6228763,FALSE,2,10,100,1,4.88038,52.37106
Amsterdam,614.4400441,FALSE,4,10,99,2,4.90645,52.36286
Amsterdam,196.6114405,TRUE,2,9,84,1,4.82782,52.37562
Amsterdam,784.1023598,FALSE,5,8,95,2,4.87358,52.37481
Amsterdam,675.6028402,TRUE,4,10,97,1,4.88339,52.364
Amsterdam,259.4146181,TRUE,3,9,92,1,4.90647,52.35059
Amsterdam,467.0400487,TRUE,2,10,100,1,4.88967,52.38787
Amsterdam,442.6686664,TRUE,2,9,88,1,4.89548,52.37539
Amsterdam,436.1071403,TRUE,2,9,94,1,4.89045,52.37507
Amsterdam,473.1328943,TRUE,2,10,99,1,4.88613,52.36612
Amsterdam,371.1949008,FALSE,2,7,74,1,4.91269,52.37442
Amsterdam,298.7837743,FALSE,2,9,89,1,4.91198,52.37485
Amsterdam,143.6505519,TRUE,2,8,81,1,4.947,52.325
Amsterdam,917.9106226,FALSE,4,10,96,2,4.84019,52.37578
Amsterdam,165.6785321,TRUE,2,10,98,1,4.97255,52.31102
Amsterdam,968.2937689,FALSE,6,10,95,3,4.91,52.394
